Epoch, Train_MPJPE, Train_Cos, Train_Bone, Train_Total, Best_Total 
0,0.1432,11.2691,0.1940,0.6229,0.6229
1,0.0841,12.7476,0.0535,0.2982,0.2982
2,0.0740,12.9858,0.0441,0.2444,0.2444
3,0.0687,13.1025,0.0390,0.2165,0.2165
4,0.0647,13.1819,0.0354,0.1953,0.1953
5,0.0615,13.2410,0.0328,0.1783,0.1783
6,0.0591,13.2828,0.0307,0.1659,0.1659
7,0.0574,13.3156,0.0293,0.1566,0.1566
8,0.0557,13.3454,0.0280,0.1477,0.1477
9,0.0538,13.3731,0.0267,0.1379,0.1379
10,0.0530,13.3902,0.0260,0.1337,0.1337
11,0.0514,13.4141,0.0250,0.1256,0.1256
12,0.0503,13.4324,0.0242,0.1196,0.1196
13,0.0493,13.4476,0.0235,0.1146,0.1146
14,0.0486,13.4584,0.0230,0.1106,0.1106
15,0.0474,13.4766,0.0222,0.1047,0.1047
16,0.0468,13.4872,0.0217,0.1013,0.1013
17,0.0465,13.4922,0.0215,0.0996,0.0996
18,0.0453,13.5084,0.0207,0.0937,0.0937
19,0.0448,13.5181,0.0203,0.0909,0.0909
20,0.0444,13.5231,0.0200,0.0886,0.0886
21,0.0433,13.5376,0.0194,0.0831,0.0831
22,0.0429,13.5436,0.0190,0.0811,0.0811
23,0.0425,13.5507,0.0188,0.0788,0.0788
24,0.0419,13.5582,0.0184,0.0760,0.0760
25,0.0415,13.5641,0.0181,0.0737,0.0737
26,0.0410,13.5714,0.0178,0.0712,0.0712
27,0.0407,13.5761,0.0176,0.0694,0.0694
28,0.0403,13.5804,0.0174,0.0677,0.0677
29,0.0400,13.5841,0.0172,0.0658,0.0658
