Epoch, Train_MPJPE, Train_Cos, Train_Bone, Train_Total, Best_Total 
0,0.2017,10.8834,0.4856,0.3430,0.3430
1,0.0938,12.9230,0.0401,0.0625,0.0625
2,0.0815,13.1336,0.0488,0.0365,0.0365
3,0.0736,13.2598,0.0273,0.0173,0.0173
4,0.0697,13.3289,0.0252,0.0087,0.0087
5,0.0673,13.3644,0.0241,0.0034,0.0034
6,0.0657,13.3910,0.0234,-0.0002,-0.0002
7,0.0629,13.4266,0.0212,-0.0064,-0.0064
8,0.0610,13.4520,0.0202,-0.0106,-0.0106
9,0.0593,13.4727,0.0193,-0.0141,-0.0141
10,0.0588,13.4808,0.0193,-0.0153,-0.0153
11,0.0569,13.5029,0.0182,-0.0195,-0.0195
12,0.0559,13.5156,0.0178,-0.0216,-0.0216
13,0.0550,13.5255,0.0174,-0.0235,-0.0235
14,0.0542,13.5343,0.0170,-0.0253,-0.0253
15,0.0535,13.5413,0.0168,-0.0268,-0.0268
16,0.0528,13.5484,0.0166,-0.0281,-0.0281
17,0.0516,13.5604,0.0161,-0.0307,-0.0307
18,0.0509,13.5681,0.0158,-0.0323,-0.0323
19,0.0504,13.5744,0.0155,-0.0335,-0.0335
20,0.0497,13.5810,0.0153,-0.0348,-0.0348
21,0.0492,13.5872,0.0151,-0.0361,-0.0361
22,0.0485,13.5934,0.0149,-0.0375,-0.0375
23,0.0480,13.5988,0.0147,-0.0385,-0.0385
24,0.0474,13.6040,0.0145,-0.0397,-0.0397
25,0.0470,13.6087,0.0143,-0.0407,-0.0407
26,0.0465,13.6139,0.0141,-0.0417,-0.0417
27,0.0460,13.6192,0.0139,-0.0429,-0.0429
28,0.0456,13.6227,0.0137,-0.0436,-0.0436
29,0.0453,13.6260,0.0136,-0.0444,-0.0444
30,0.0449,13.6300,0.0135,-0.0451,-0.0451
31,0.0446,13.6328,0.0134,-0.0458,-0.0458
32,0.0443,13.6356,0.0133,-0.0464,-0.0464
33,0.0440,13.6384,0.0132,-0.0470,-0.0470
34,0.0439,13.6402,0.0131,-0.0474,-0.0474
35,0.0437,13.6415,0.0130,-0.0477,-0.0477
36,0.0435,13.6432,0.0130,-0.0481,-0.0481
37,0.0434,13.6445,0.0129,-0.0484,-0.0484
38,0.0433,13.6458,0.0129,-0.0486,-0.0486
39,0.0432,13.6464,0.0128,-0.0488,-0.0488
