Epoch, Train_MPJPE, Train_Cos, Train_Bone, Train_Total 
0,0.1270,12.9127,0.0414,1.1449,1.1449
1,0.0998,13.1198,0.0315,0.8699,0.8699
2,0.0923,13.1829,0.0295,0.7939,0.7939
3,0.0895,13.2289,0.0291,0.7659,0.7659
4,0.0837,13.2657,0.0287,0.7077,0.7077
5,0.0806,13.2923,0.0279,0.6754,0.6754
6,0.0782,13.3148,0.0276,0.6514,0.6514
7,0.0758,13.3311,0.0270,0.6273,0.6273
8,0.0742,13.3482,0.0266,0.6115,0.6115
9,0.0730,13.3626,0.0263,0.5987,0.5987
10,0.0696,13.3802,0.0258,0.5649,0.5649
11,0.0689,13.3902,0.0256,0.5574,0.5574
12,0.0668,13.4055,0.0251,0.5360,0.5360
13,0.0663,13.4110,0.0249,0.5313,0.5313
14,0.0645,13.4224,0.0248,0.5136,0.5136
15,0.0636,13.4314,0.0244,0.5039,0.5039
16,0.0628,13.4345,0.0244,0.4963,0.4963
17,0.0622,13.4374,0.0243,0.4898,0.4898
18,0.0617,13.4435,0.0240,0.4849,0.4849
19,0.0613,13.4441,0.0240,0.4814,0.4814
